stateabb,ccode,year,cinc,region_cy,sb_exist_cy,sb_dyad_count_cy,sb_dyad_ids_cy,sb_dyad_names_cy,sb_intrastate_exist_cy,sb_intrastate_dyad_count_cy,sb_intrastate_dyad_ids_cy,sb_intrastate_main_govt_inv_incomp_cy,sb_interstate_exist_cy,sb_interstate_dyad_count_cy,sb_interstate_dyad_ids_cy,sb_interstate_main_govt_inv_incomp_cy,ns_exist_cy,ns_dyad_count_cy,ns_dyad_ids_cy,os_exist_cy,os_dyad_count_cy,os_dyad_ids_cy,os_main_govt_inv_cy,os_nsgroup_inv_cy,ctd_parties,ctd_civ,ctd_unk,ctd_best,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem
BRA,140,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,19.0,0.014,0.053,0.061,,
COL,100,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,15.0,,,,,
EGY,651,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,13.0,0.032,0.079,0.022,,
JPN,740,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,9.0,0.025,0.019,0.011,,
MEX,70,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,3.0,0.027,0.044,0.006,,
MYA,775,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Burma/Myanmar,10.0,0.021,0.036,0.032,,
POL,290,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,17.0,0.199,0.158,0.169,,
RUS,365,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia,11.0,0.029,0.014,0.023,,
SWD,380,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,5.0,0.187,0.207,0.049,,
YEM,679,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,Yemen,14.0,0.016,0.015,0.011,,
BRA,140,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,19.0,0.014,0.053,0.061,,
COL,100,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,15.0,,,,,
EGY,651,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,13.0,0.032,0.079,0.022,,
JPN,740,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,9.0,0.027,0.016,0.011,,
MEX,70,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,3.0,0.027,0.044,0.006,,
MYA,775,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Burma/Myanmar,10.0,0.02,0.03,0.026,,
POL,290,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,17.0,0.199,0.163,0.169,,
RUS,365,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia,11.0,0.019,0.014,0.022,,
SWD,380,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,5.0,0.187,0.223,0.049,,
YEM,679,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,Yemen,14.0,0.016,0.015,0.011,,
BRA,140,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,19.0,0.014,0.053,0.061,,
COL,100,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,15.0,,,,,
EGY,651,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,13.0,0.032,0.079,0.022,,
JPN,740,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,9.0,0.027,0.016,0.011,,
MEX,70,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,3.0,0.027,0.044,0.006,,
MYA,775,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Burma/Myanmar,10.0,0.02,0.03,0.026,,
POL,290,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,17.0,0.199,0.174,0.169,,
RUS,365,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia,11.0,0.019,0.014,0.022,,
SWD,380,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,5.0,0.187,0.223,0.049,,
YEM,679,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,Yemen,14.0,0.016,0.015,0.011,,
BRA,140,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,19.0,0.014,0.053,0.061,,
COL,100,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,15.0,,,,,
EGY,651,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,13.0,0.032,0.079,0.022,,
