dispnum,styear,endyear,fatality,fatalpre,hostlev,recip,numa,numb,ongo2014,meandur,acountries,bcountries
2,1902,1903,0,0,3,0,1,1,0,193.0,[2],[200]
3,1913,1913,0,0,3,0,1,1,0,177.0,[300],[345]
4,1946,1946,2,-9,4,1,1,1,0,183.0,[339],[200]
7,1951,1952,2,-9,4,1,1,1,0,106.0,[200],[651]
8,1856,1857,6,-9,5,1,1,1,0,242.0,[200],[630]
9,1889,1890,0,0,3,0,1,1,0,13.0,[200],[235]
11,1938,1938,0,0,4,0,1,1,0,2.0,[255],[305]
12,1938,1938,0,0,4,1,1,5,0,204.0,[255],[211 315 200 365 220]
13,1863,1863,-9,-9,4,0,3,1,0,134.0,[220 200   2],[740]
14,1895,1895,0,0,3,0,1,1,0,78.0,[200],[640]
15,1839,1839,0,0,4,1,1,1,0,67.0,[2],[200]
16,1897,1898,0,0,3,0,2,2,0,43.0,[740 200],[365 730]
19,1848,1849,6,-9,5,1,1,3,0,434.0,[300],[332 325 337]
20,1945,1946,0,0,3,0,1,1,0,173.0,[365],[630]
21,1912,1912,0,0,3,0,1,2,0,13.0,[300],[365 345]
22,1940,1940,-9,-9,4,1,1,1,0,9.0,[365],[367]
23,1939,1939,0,0,4,0,1,1,0,217.0,[365],[366]
25,1831,1832,-9,-9,4,1,1,3,0,185.0,[210],[220 211 200]
26,1948,1949,0,0,4,1,1,3,0,492.0,[365],[  2 220 200]
27,1961,1961,0,0,4,1,4,4,0,96.0,[  2 200 260 220],[265 290 365 315]
28,1961,1961,3,-9,4,1,1,1,0,49.0,[616],[220]
30,1908,1909,-9,-9,4,1,1,1,0,177.0,[345],[300]
31,1900,1900,6,-9,5,1,8,1,0,79.0,[200 300 220 740   2 365 255 325],[710]
38,1837,1838,0,0,4,1,1,1,0,8.0,[200],[2]
40,1928,1928,3,-9,4,1,1,1,0,223.0,[740],[710]
41,1929,1929,6,-9,5,1,1,1,0,191.0,[710],[365]
43,1897,1898,0,0,4,1,1,1,0,113.0,[255],[710]
50,1953,1956,2,-9,4,1,3,2,0,1073.0,[732 713   2],[710 365]
51,1950,1953,6,-9,5,1,2,15,0,1130.0,[731 710],[ 20 732 210 840 350 800 640   2 211 220 100 900 200 920 530]
53,1956,1956,0,0,4,1,1,1,0,2.0,[710],[2]
55,1923,1923,0,0,4,0,1,1,0,30.0,[325],[350]
56,1897,1897,-9,-9,4,0,6,2,0,182.0,[365 255 220 300 325 200],[640 350]
57,1853,1856,6,-9,5,1,1,5,0,1035.0,[365],[200 300 325 640 220]
61,1962,1962,0,0,4,1,1,2,0,319.0,[2],[ 40 365]
64,1826,1826,0,0,3,0,1,1,0,185.0,[365],[640]
65,1883,1883,0,0,2,0,1,1,0,1.0,[300],[360]
67,1934,1934,0,0,3,0,3,1,0,7.0,[325 345 315],[255]
68,1900,1900,0,0,3,0,2,1,0,25.0,[  2 220],[42]
69,1914,1916,0,0,4,0,1,1,0,981.0,[2],[42]
71,1850,1850,0,0,4,0,1,1,0,101.0,[200],[350]
77,1898,1898,0,0,3,1,1,1,0,48.0,[200],[220]
78,1847,1848,0,0,3,0,1,1,0,185.0,[300],[327]
86,1907,1908,-9,-9,4,1,2,1,0,365.0,[220 230],[600]
88,1870,1871,6,-9,5,1,4,1,0,235.0,[220],[267 245 271 255]
89,1822,1823,6,-9,5,1,4,1,0,419.0,[300 255 220 365],[230]
91,1887,1887,0,0,2,0,1,1,0,1.0,[365],[640]
92,1964,1964,2,-9,4,1,1,1,0,12.0,[220],[481]
95,1909,1910,0,0,3,0,1,1,0,182.5,[255],[41]
96,1886,1886,0,0,4,0,5,1,0,43.0,[325 300 200 255 365],[350]
100,1914,1915,0,0,4,0,1,1,0,271.0,[2],[41]
104,1880,1880,0,0,3,1,1,1,0,123.0,[365],[710]
106,1895,1895,0,0,3,0,3,1,0,70.0,[365 255 220],[740]
108,1939,1939,-9,-9,4,0,1,1,0,2.0,[325],[339]
109,1904,1904,0,0,3,0,1,1,0,31.5,[300],[325]
111,1934,1936,6,-9,5,1,2,1,0,535.0,[530 200],[325]
112,1860,1860,6,-9,5,1,1,2,0,23.0,[325],[220 327]
113,1860,1861,6,-9,5,1,1,2,0,149.0,[325],[220 329]
114,1911,1911,6,-9,5,1,1,1,0,37.0,[325],[640]
115,1859,1859,6,-9,5,1,2,2,0,165.0,[255 300],[220 325]
119,1885,1885,0,0,3,1,1,1,0,72.0,[200],[365]
121,1853,1853,0,0,3,0,1,1,0,1.0,[2],[300]
122,1961,1962,0,0,4,1,1,8,0,249.0,[645],[200 630 651 690 670 616 663 625]
